76432,./cases/total/c76432.py,https://github.com/pytorch/pytorch/issues/76432,1.12.0,None,"['transpose', 'MaxPool', 'maxpool']",torch.nn.MaxPool2d,v
75781,./cases/total/c75781.py,https://github.com/pytorch/pytorch/issues/75781,1.11.0,"['1.1', '10.2', '0.4.3', '1.11.0']","['irfft', 'real', 'rfft']",torch.fft.irfft,s
75740,./cases/total/c75740.py,https://github.com/pytorch/pytorch/issues/75740,1.10.1,"['1.0', '1.5.9', '0.10.1', '0.6.1', '2.0', '1.1', '1.10.1', '0.11.2', '2.0.9', '11.3']","['Linear', 'cuda']",torch.nn.Linear,v
75219,./cases/total/c75219.py,https://github.com/pytorch/pytorch/issues/75219,None,None,"['Conv', 'conv', 'mode']",torch.nn.functional.conv2d,s
74487,./cases/total/c74487.py,https://github.com/pytorch/pytorch/issues/74487,1.9.0,"['0.10.0', '10.2', '2.0.8', '1.9.0']","['scatter_add', 'scatter_', 'scatter']",torch.scatter_add,p
73840,./cases/total/c73840.py,https://github.com/pytorch/pytorch/issues/73840,1.10.1,"['1.10.1', '1.1', '10.2']","['max_pool', 'max']",torch.nn.functional.max_pool1d,s
73764,./cases/total/c73764.py,https://github.com/pytorch/pytorch/issues/73764,1.10.2,"['0.7.2', '1.1', '1.10.2', '0.11.3', '11.3']","['Conv', 'conv', 'cuda']",torch.nn.Conv2d,p
73628,./cases/total/c73628.py,https://github.com/pytorch/pytorch/issues/73628,1.10.1,['1.10.1'],"['kthvalue', 'ger']",torch.kthvalue,s
73622,./cases/total/c73622.py,https://github.com/pytorch/pytorch/issues/73622,1.10.1,"['0.4.0', '0.10.1', '1.10.1', '1.1', '10.2', '0.11.2']","['size', 'cuda', 'det']",torch.det,v
73188,./cases/total/c73188.py,https://github.com/pytorch/pytorch/issues/73188,1.9.0,['1.9.0'],"['float', 'norm']",torch.norm,s
73176,./cases/total/c73176.py,https://github.com/pytorch/pytorch/issues/73176,1.10.2,['1.10.2'],['cuda'],torch.Tensor.cuda,v
73154,./cases/total/c73154.py,https://github.com/pytorch/pytorch/issues/73154,1.10.1,['1.10.1'],"['max_unpool', 'negative', 'max']",torch.nn.functional.max_unpool2d,v
72910,./cases/total/c72910.py,https://github.com/pytorch/pytorch/issues/72910,1.10.1,['1.10.1'],"['irfft2', 'rfftn', 'rfft2']",torch.fft.irfft2,s
72129,./cases/total/c72129.py,https://github.com/pytorch/pytorch/issues/72129,1.10.2,"['0.10.2', '1.10.2', '1.1', '0.11.3', '11.3']","['Parameter', 'save']",torch.save,s
71994,./cases/total/c71994.py,https://github.com/pytorch/pytorch/issues/71994,1.11.0,"['0.0.2', '0.5.1', '0.4', '0.1.0', '0.10.0', '1.1', '0.12.0', '11.2', '0.0.1', '1.11.0']","['script', 'tan']",torch.jit.script,s
71678,./cases/total/c71678.py,https://github.com/pytorch/pytorch/issues/71678,1.9.1,"['0.5.0', '11.1', '1.9.1', '0.10.1']",['bmm'],torch.bmm,s
71636,./cases/total/c71636.py,https://github.com/pytorch/pytorch/issues/71636,1.10.1,['1.10.1'],"['median', 'empty']",torch.median,v
71082,./cases/total/c71082.py,https://github.com/pytorch/pytorch/issues/71082,1.10.1,['1.10.1'],"['combinations', 'greater', 'cat']",torch.combinations,s
71080,./cases/total/c71080.py,https://github.com/pytorch/pytorch/issues/71080,1.10.1,['1.10.1'],"['float', 'Conv', 'conv']",torch.nn.functional.conv2d,s
70954,./cases/total/c70954.py,https://github.com/pytorch/pytorch/issues/70954,1.10.0,None,"['Conv', 'conv', 'div']",torch.nn.Conv2d,p
70701,./cases/total/c70701.py,https://github.com/pytorch/pytorch/issues/70701,1.10.1,['1.10.1'],"['AdaptiveAvgPool', 'avgpool', 'AvgPool']",torch.nn.AvgPool1d,s
70675,./cases/total/c70675.py,https://github.com/pytorch/pytorch/issues/70675,1.10.1,['1.10.1'],"['index_select', 'select', 'empty']",torch.index_select,v
70674,./cases/total/c70674.py,https://github.com/pytorch/pytorch/issues/70674,1.10.1,['1.10.1'],"['empty', 'amax', 'rand']",torch.amax,s
70669,./cases/total/c70669.py,https://github.com/pytorch/pytorch/issues/70669,1.10.1,"['1.10.1', '0.11.2', '11.3', '1.1']","['logdet', 'solve', 'det']",torch.logdet,s
70664,./cases/total/c70664.py,https://github.com/pytorch/pytorch/issues/70664,1.8.1,['1.8.1'],"['rfft2', 'fft2', 'rfft']",torch.fft.rfft2,s
70523,./cases/total/c70523.py,https://github.com/pytorch/pytorch/issues/70523,1.10.0,"['0.11.0', '0.2.0', '1.1', '1.10.0', '11.3']","['Conv', 'conv']",torch.nn.Conv2d,s
70486,./cases/total/c70486.py,https://github.com/pytorch/pytorch/issues/70486,1.10.1,['1.10.1'],"['addcmul', 'addcdiv', 'add']",torch.addcmul,s
70182,./cases/total/c70182.py,https://github.com/pytorch/pytorch/issues/70182,1.9.0,['1.9.0'],"['Conv', 'conv', 'ger']",torch.all,s
69801,./cases/total/c69801.py,https://github.com/pytorch/pytorch/issues/69801,1.10.0,['1.1'],"['Dropout', 'dropout']",torch.nn.Dropout2d,v
69786,./cases/total/c69786.py,https://github.com/pytorch/pytorch/issues/69786,None,None,['equal'],torch.equal,s
69518,./cases/total/c69518.py,https://github.com/pytorch/pytorch/issues/69518,1.10.0,None,"['addmm', 'add', 'empty']",torch.addmm,s
69432,./cases/total/c69432.py,https://github.com/pytorch/pytorch/issues/69432,1.10.0,None,"['movedim', 'ger', 'dim']",torch.movedim,s
69348,./cases/total/c69348.py,https://github.com/pytorch/pytorch/issues/69348,1.10.0,None,"['broadcast', 'sspaddmm', 'addmm']",torch.addmm,s
69339,./cases/total/c69339.py,https://github.com/pytorch/pytorch/issues/69339,1.10.0,"['0.6.0', '0.1.1', '0.1', '0.3', '1.5', '1.1', '1.10.0', '11.3']","['CrossEntropyLoss', 'indices', 'cross']",torch.nn.CrossEntropyLoss,s
69294,./cases/total/c69294.py,https://github.com/pytorch/pytorch/issues/69294,1.10.0,"['1.0', '0.11.1', '1.2.0', '0.10.0', '1.1', '1.10.0', '11.3']","['fftn', 'fft', 'diff']",torch.fft.fftn,s
69270,./cases/total/c69270.py,https://github.com/pytorch/pytorch/issues/69270,1.10.0,None,"['split', 'hsplit']",torch.hsplit,s
68727,./cases/total/c68727.py,https://github.com/pytorch/pytorch/issues/68727,1.10.0,None,"['MaxUnpool', 'cuda', 'max']",torch.nn.MaxUnpool2d,s
68512,./cases/total/c68512.py,https://github.com/pytorch/pytorch/issues/68512,1.10.0,None,"['zeros', 'Conv', 'conv']",torch.nn.functional.conv2d,v
67551,./cases/total/c67551.py,https://github.com/pytorch/pytorch/issues/67551,1.9.0,"['1.5.1', '0.10.0', '11.1', '1.9.0']","['Conv', 'conv', 'add']",torch.nn.Conv2d,s
67140,./cases/total/c67140.py,https://github.com/pytorch/pytorch/issues/67140,1.9.1,"['11.1', '1.9.1', '0.2.2', '0.9.1']","['cuda', 'rfft', 'fft']",torch.fft.rfft,s
66504,./cases/total/c66504.py,https://github.com/pytorch/pytorch/issues/66504,None,None,"['BatchNorm', 'gradient', 'norm']",torch.nn.BatchNorm1d,s
66402,./cases/total/c66402.py,https://github.com/pytorch/pytorch/issues/66402,None,['5.0'],"['isfinite', 'cpu']",torch.isfinite,v
66249,./cases/total/c66249.py,https://github.com/pytorch/pytorch/issues/66249,1.9.0,"['0.4.1', '1.3', '0.9.0', '2.1', '11.1', '1.9.0']",['sin'],torch.sin,v
66072,./cases/total/c66072.py,https://github.com/pytorch/pytorch/issues/66072,1.9.1,"['1.9.1', '1.9.0']","['cholesky_solve', 'cholesky', 'solve']",torch.cholesky_solve,s
65599,./cases/total/c65599.py,https://github.com/pytorch/pytorch/issues/65599,1.9.0,['1.9.0'],"['gradient', 'norm', 'sub']",torch.linalg.matrix_norm,v
65392,./cases/total/c65392.py,https://github.com/pytorch/pytorch/issues/65392,1.10.0,None,"['sum', 'dim', 'script']",torch.sum,v
64041,./cases/total/c64041.py,https://github.com/pytorch/pytorch/issues/64041,1.9.0,"['0.10.0', '10.2', '1.9.0']","['unique', 'prod', 'exp']",torch.unique,v
63152,./cases/total/c63152.py,https://github.com/pytorch/pytorch/issues/63152,1.9.0,"['0.10.0', '1.5.3', '11.1', '0.9.0', '0.2.0', '1.5.1', '1.1', '1.9.0']","['rfft', 'fft', 'cuda']",torch.fft.rfft,v
62237,./cases/total/c62237.py,https://github.com/pytorch/pytorch/issues/62237,1.9.0,"['1.0', '1.9', '0.9.0', '1.8', '1.8.0', '0.10.0', '10.2', '1.9.0']","['interpolate', 'mode']",torch.nn.functional.interpolate,v
61656,./cases/total/c61656.py,https://github.com/pytorch/pytorch/issues/61656,1.9.0,"['0.4.1', '1.3', '0.10.0', '10.2', '1.9.0']","['median', 'empty', 'prod']",torch.median,s
61251,./cases/total/c61251.py,https://github.com/pytorch/pytorch/issues/61251,1.9.0,['1.9.0'],['eig'],torch.linalg.eig,s
60466,./cases/total/c60466.py,https://github.com/pytorch/pytorch/issues/60466,1.9.0,"['1.9.0', '0.10.0', '0.1', '0.3', '0.4', '1.5.1', '10.2', '0.5', '0.0', '0.6']","['Unfold', 'unfold', 'fold']",torch.nn.functional.unfold,v
60075,./cases/total/c60075.py,https://github.com/pytorch/pytorch/issues/60075,1.8.1,None,"['Conv', 'conv', 'add']",torch.nn.Conv2d,s
